surah id,name_en,name_bn,name_ar,start,end
,,,,,
1,Al-Fatihah,আল-ফাতিহা,الفاتحة,2,2
2,Al-Baqarah,আল-বাকারাহ,البقرة,3,50
3,Aal-E-Imran,আলে-ইমরান,آل عمران,51,77
4,An-Nisa,আন-নিসা,النساء,78,107
5,Al-Ma'idah,আল-মায়িদাহ,المائدة,107,127
6,Al-An'am,আল-আন'আম,الأنعام,129,151
7,Al-A'raf,আল-আ'রাফ,الأعراف,152,177
8,Al-Anfal,আল-আনফাল,الأنفال,178,187
9,At-Tawbah,আত-তাওবাহ,التوبة,188,208
10,Yunus,ইউনুস,يونس,209,222
11,Hud,হুদ,هود,222,236
12,Yusuf,ইউসুফ,يوسف,236,249
13,Ar-Ra'd,আর-রা'দ,الرعد,250,256
14,Ibrahim,ইবরাহীম,إبراهيم,256,262
15,Al-Hijr,আল-হিজর,الحجر,262,268
16,An-Nahl,আন-নাহল,النحل,268,282
17,Al-Isra,আল-ইসরা,الإسراء,283,293
18,Al-Kahf,আল-কাহফ,الكهف,294,306
19,Maryam,মারইয়াম,مريم,306,313
20,Ta-Ha,তা-হা,طه,313,322
21,Al-Anbiya,আল-আম্বিয়া,الأنبياء,323,332
22,Al-Hajj,আল-হাজ্জ,الحج,332,342
23,Al-Mu'minun,আল-মু'মিনূন,المؤمنون,343,350
24,An-Nur,আন-নূর,النور,351,360
25,Al-Furqan,আল-ফুরকান,الفرقان,360,367
26,Ash-Shu'ara,আশ-শু'আরা,الشعراء,367,377
27,An-Naml,আন-নামল,النمل,377,386
28,Al-Qasas,আল-কাসাস,القصص,386,397
29,Al-Ankabut,আল-আনকাবুত,العنكبوت,397,405
30,Ar-Rum,আর-রূম,الروم,405,412
31,Luqman,লুকমান,لقمان,412,415
32,As-Sajda,আস-সাজদাহ,السجدة,416,418
33,Al-Ahzab,আল-আহযাব,الأحزاب,419,428
34,Saba,সাবা,سبأ,429,435
35,Fatir,ফাতির,فاطر,435,441
36,Ya-Sin,ইয়াসীন,يس,441,446
37,As-Saffat,আস-সাফফাত,الصافات,446,453
38,Sad,সাদ,ص,453,459
39,Az-Zumar,আয-যুমার,الزمر,459,468
40,Ghafir,গাফির,غافر,468,477
41,Fussilat,ফুসসিলাত,فصلت,478,483
42,Ash-Shura,আশ-শূরা,الشورى,484,490
43,Az-Zukhruf,আয-যুখরুফ,الزخرف,490,496
44,Ad-Dukhan,আদ-দুখান,الدخان,496,499
45,Al-Jathiyah,আল-জাসিয়াহ,الجاثية,499,502
46,Al-Ahqaf,আল-আহকাফ,الأحقاف,503,507
47,Muhammad,মুহাম্মাদ,محمد,507,511
48,Al-Fath,আল-ফাতহ,الفتح,512,516
49,Al-Hujurat,আল-হুজুরাত,الحجرات,516,518
50,Qaf,ক্বাফ,ق,519,521
51,Adh-Dhariyat,আয-যারিয়াত,الذاريات,521,524
52,At-Tur,আত-তূর,الطور,524,526
53,An-Najm,আন-নাজম,النجم,527,529
54,Al-Qamar,আল-ক্বামার,القمر,529,532
55,Ar-Rahman,আর-রাহমান,الرحمن,532,535
56,Al-Waqi'ah,আল-ওয়াকিয়াহ,الواقعة,535,538
57,Al-Hadid,আল-হাদীদ,الحديد,538,542
58,Al-Mujadila,আল-মুজাদিলাহ,المجادلة,543,546
59,Al-Hashr,আল-হাশর,الحشر,546,549
60,Al-Mumtahina,আল-মুমতাহিনাহ,الممتحنة,550,552
61,As-Saff,আস-সাফ,الصف,552,554
62,Al-Jumu'ah,আল-জুমু'আহ,الجمعة,554,555
63,Al-Munafiqun,আল-মুনাফিকুন,المنافقون,555,556
64,At-Taghabun,আত-তাগাবুন,التغابن,557,558
65,At-Talaq,আত-তালাক,الطلاق,559,560
66,At-Tahrim,আত-তাহরীম,التحريم,561,562
67,Al-Mulk,আল-মুলক,الملك,563,565
68,Al-Qalam,আল-কলম,القلم,565,568
69,Al-Haqqah,আল-হাক্কাহ,الحاقة,568,570
70,Al-Ma'arij,আল-মা'আরিজ,المعارج,570,572
71,Nuh,নূহ,نوح,572,574
72,Al-Jinn,আল-জিন,الجن,574,577
73,Al-Muzzammil,আল-মুজ্জাম্মিল,المزمل,577,578
74,Al-Muddaththir,আল-মুদ্দাসসির,المدثر,579,581
75,Al-Qiyamah,আল-ক্বিয়ামাহ,القيامة,581,582
76,Al-Insan,আল-ইনসান,الإنسان,583,585
77,Al-Mursalat,আল-মুরসালাত,المرسلات,585,586
78,An-Naba,আন-নাবা,النبأ,587,588
79,An-Nazi'at,আন-নাযিয়াত,النازعات,588,590
80,Abasa,আবাসা,عبس,590,591
81,At-Takwir,আত-তাকভীর,التكوير,591,592
82,Al-Infitar,আল-ইনফিতার,الإنفطار,592,593
83,Al-Mutaffifin,আল-মুতাফফিফীন,المطففين,593,595
84,Al-Inshiqaq,আল-ইনশিকাক,الإنشقاق,595,596
85,Al-Buruj,আল-বুরুজ,البروج,596,597
86,At-Tariq,আত-তারিক,الطارق,597,597
87,Al-A'la,আল-আ'লা,الأعلى,598,598
88,Al-Ghashiyah,আল-গাশিয়াহ,الغاشية,599,599
89,Al-Fajr,আল-ফাজর,الفجر,599,600
90,Al-Balad,আল-বালাদ,البلد,601,601
91,Ash-Shams,আশ-শামস,الشمس,601,602
92,Al-Lail,আল-লাইল,الليل,602,603
93,Ad-Duha,আদ-দুহা,الضحى,603,603
94,Ash-Sharh,আল-ইনশিরাহ,الشرح,603,603
95,At-Tin,আত-তিন,التين,604,604
96,Al-Alaq,আল-আলাক,العلق,604,605
97,Al-Qadr,আল-ক্বদর,القدر,605,605
98,Al-Bayyina,আল-বায়্যিনাহ,البينة,605,606
99,Az-Zalzalah,আয-যিলযালাহ,الزلزلة,606,606
100,Al-Adiyat,আল-আদিয়াত,العاديات,606,607
101,Al-Qari'ah,আল-কারিয়াহ,القارعة,607,607
102,At-Takathur,আত-তাকাসুর,التكاثر,607,607
103,Al-Asr,আল-আসর,العصر,608,608
104,Al-Humazah,আল-হুমাযাহ,الهمزة,608,608
105,Al-Fil,আল-ফীল,الفيل,608,608
106,Quraysh,কুরাইশ,قريش,609,609
107,Al-Ma'un,আল-মাউন,الماعون,609,609
108,Al-Kawthar,আল-কাওসার,الكوثر,609,609
109,Al-Kafirun,আল-কাফিরুন,الكافرون,609,610
110,An-Nasr,আন-নাসর,النصر,610,610
111,Al-Masad,আল-মাসাদ,المسد,610,610
112,Al-Ikhlas,আল-ইখলাস,الإخلاص,610,610
113,Al-Falaq,আল-ফালাক,الفلق,611,611
114,An-Nas,আন-নাস,الناس,611,611
