surah id,name_en,name_bn,name_ar,start,end
,,,,,
1,Al-Fatihah,আল-ফাতিহা,الفاتحة,9,9
2,Al-Baqarah,আল-বাকারাহ,البقرة,10,69
3,Aal-E-Imran,আলে-ইমরান,آل عمران,69,102
4,An-Nisa,আন-নিসা,النساء,102,137
5,Al-Ma'idah,আল-মায়িদাহ,المائدة,137,163
6,Al-An'am,আল-আন'আম,الأنعام,163,190
7,Al-A'raf,আল-আ'রাফ,الأعراف,190,222
8,Al-Anfal,আল-আনফাল,الأنفال,222,234
9,At-Tawbah,আত-তাওবাহ,التوبة,234,258
10,Yunus,ইউনুস,يونس,258,275
11,Hud,হুদ,هود,275,292
12,Yusuf,ইউসুফ,يوسف,292,308
13,Ar-Ra'd,আর-রা'দ,الرعد,308,315
14,Ibrahim,ইবরাহীম,إبراهيم,315,323
15,Al-Hijr,আল-হিজর,الحجر,323,330
16,An-Nahl,আন-নাহল,النحل,330,347
17,Al-Isra,আল-ইসরা,الإسراء,348,362
18,Al-Kahf,আল-কাহফ,الكهف,362,375
19,Maryam,মারইয়াম,مريم,376,384
20,Ta-Ha,তা-হা,طه,384,395
21,Al-Anbiya,আল-আম্বিয়া,الأنبياء,396,407
22,Al-Hajj,আল-হাজ্জ,الحج,407,419
23,Al-Mu'minun,আল-মু'মিনূন,المؤمنون,420,429
24,An-Nur,আন-নূর,النور,429,441
25,Al-Furqan,আল-ফুরকান,الفرقان,441,449
26,Ash-Shu'ara,আশ-শু'আরা,الشعراء,449,461
27,An-Naml,আন-নামল,النمل,461,471
28,Al-Qasas,আল-কাসাস,القصص,472,485
29,Al-Ankabut,আল-আনকাবুত,العنكبوت,485,495
30,Ar-Rum,আর-রূম,الروم,495,503
31,Luqman,লুকমান,لقمان,503,507
32,As-Sajda,আস-সাজদাহ,السجدة,507,511
33,Al-Ahzab,আল-আহযাব,الأحزاب,511,523
34,Saba,সাবা,سبأ,523,531
35,Fatir,ফাতির,فاطر,531,538
36,Ya-Sin,ইয়াসীন,يس,538,545
37,As-Saffat,আস-সাফফাত,الصافات,545,553
38,Sad,সাদ,ص,553,559
39,Az-Zumar,আয-যুমার,الزمر,559,569
40,Ghafir,গাফির,غافر,570,581
41,Fussilat,ফুসসিলাত,فصلت,581,589
42,Ash-Shura,আশ-শূরা,الشورى,589,596
43,Az-Zukhruf,আয-যুখরুফ,الزخرف,596,604
44,Ad-Dukhan,আদ-দুখান,الدخان,604,607
45,Al-Jathiyah,আল-জাসিয়াহ,الجاثية,607,611
46,Al-Ahqaf,আল-আহকাফ,الأحقاف,612,617
47,Muhammad,মুহাম্মাদ,محمد,617,622
